Date,interconn_fra,interconn_fra_lag1,interconn_fra_lag2,interconn_fra_lag3,interconn_fra_lag4,interconn_fra_lag5,interconn_fra_lag6,interconn_fra_lag7,interconn_fra_lag8,interconn_fra_lag9,interconn_fra_lag10,interconn_fra_lag11,interconn_fra_lag12,interconn_fra_lag13,interconn_fra_lag14,interconn_fra_lag15
2023-03-24,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006
2023-03-25,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554
2023-03-26,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999
2023-03-27,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432
2023-03-28,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897
2023-03-29,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921
2023-03-30,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142
2023-03-31,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135
2023-04-01,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508
2023-04-02,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846
2023-04-03,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94
2023-04-04,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826,-36373.774
2023-04-05,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808,-26426.826
2023-04-06,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001,18508.808
2023-04-07,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355,-5996.096000000001
2023-04-08,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997,-2755.355
2023-04-09,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001,14575.581999999997
2023-04-10,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461,-55258.38900000001
2023-04-11,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741,-41559.461
2023-04-12,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984,-35041.741
2023-04-13,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076,-38427.565999999984
2023-04-14,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155,-40117.076
2023-04-15,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519,-47574.155
2023-04-16,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998,-23608.519
2023-04-17,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803,-24515.362999999998
2023-04-18,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997,-23846.803
2023-04-19,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97,-32596.661999999997
2023-04-20,-12877.764,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199,-33734.97
2023-04-21,-21501.478000000003,-12877.764,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001,-42675.199
2023-04-22,-13204.054999999998,-21501.478000000003,-12877.764,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283,-54148.92500000001
2023-04-23,-42374.785,-13204.054999999998,-21501.478000000003,-12877.764,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999,-49851.283
2023-04-24,-6790.066999999999,-42374.785,-13204.054999999998,-21501.478000000003,-12877.764,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08,-38500.76699999999
2023-04-25,-13780.808999999988,-6790.066999999999,-42374.785,-13204.054999999998,-21501.478000000003,-12877.764,-2205.940999999999,-31582.342,-42396.075,-53901.354,-63755.98400000002,-40436.852,-43498.046,-53674.031,-15277.594,21860.08
